Bayern Munich,
RB Leipzig,
Borussia Dortmund,
VfL Wolfsburg,
Eintracht Frankfurt,
Bayer Leverkusen,
Union Berlin,
Borussia Mönchengladbach,
VfB Stuttgart,
SC Freiburg,
1899 Hoffenheim,
Mainz 05,
FC Augsburg,
Hertha BSC,
Arminia Bielefeld,
1. FC Köln,
Werder Bremen,
Schalke 04,
