canada
united_states
dominician_republic
anguilla
mexico
aruba
barbados
dominica
british_virgin_islands
bahamas
el_salvador
bonaire
cayman_islands
bermuda
belize
curaçao
french_guiana
costa_rica
jamaica
cuba
antigua_and_barbuda
