bangladesh
australia
jordan
kuwait
democratic_people_republic_of_korea
laos
iraq
bhutan
iran
china_people_republic
indonesia
japan
india
afghanistan
cambodia
guam
chinese_taipei
lebanon
korea_republic
brunei_darussalam
bahrain
hong_kong
kyrgyz_republic
