cameroon
benin
algeria
ghana
congo
burundi
botswana
democratic_republic_of_the_congo
egypt
angola
djibouti
comoros
chad
eritrea
gabon
burkina_faso
guinea-bissau
central_african_republic
equatorial_guinea
cape_verde
eswatini
ethiopia
guinea
gambia
