Sporting CP,
Porto,
Benfica,
Braga,
Paços de Ferreira,
Santa Clara,
Vitória de Guimarães,
Moreirense,
Famalicão,
Belenenses SAD,
Gil Vicente,
Tondela,
Boavista,
Portimonense,
Marítimo,
Rio Ave,
Farense,
Nacional,
