Juventus,
Internazionale,
Atalanta,
Lazio,
Roma,
Milan,
Napoli,
Sassuolo,
Hellas Verona,
Fiorentina,
Parma,
Bologna,
Udinese,
Cagliari,
Sampdoria,
Torino,
Genoa,
Lecce,
Brescia,
SPAL,
