Red Bull Salzburg,
Sturm Graz,
LASK,
Rapid Wien,
Austria Wien,
Austria Klagenfurt,
WSG Tirol,
Austria Lustenau,
Wolfsberger AC,
Hartberg,
SV Ried,
Rheindorf Altach,
