Águila,San Miguel, San Miguel
Alianza,San Salvador, San Salvador
C.D. Audaz,ApastepequeDissolved 2019
Chalatenango,
Dragón,San Miguel, San Miguel
FAS,Santa Ana, Santa Ana
Firpo,Usulután, Usulután
Isidro Metapán,Metapán, Santa Ana
Municipal Limeño,Santa Rosa de Lima, La Unión
Pasaquina,
Santa Tecla,Santa Tecla, La Libertad
Sonsonate,
