Sparta Prague,
Slavia Prague,
Viktoria Plzeň,
Bohemians 1905,
Slovácko,
Sigma Olomouc,
Slovan Liberec,
Hradec Králové,
Mladá Boleslav,
České Budějovice,
Jablonec,
Baník Ostrava,
Teplice,
Zbrojovka Brno,
Pardubice,
Trinity Zlín,
