Boulevard Blazers,Pembroke
Dandy Town Hornets,Pembroke
Devonshire Cougars,Devonshire
Hamilton Parish FC,Hamilton Parish
North Village Rams,Hamilton
PHC Zebras,Southampton
Robin Hood FC,Pembroke
Somerset Trojans,Sandys
St. George's Colts,St. George's
X-Roads Warriors,Smith's Parish
