Al-Faisaly,Amman
Al-Hussein,Irbid
Al-Jazeera,Amman
Al-Ramtha,Ar Ramtha
Al-Salt,Al Salt
Al-Sareeh,Irbid
Al-Wehdat,Amman
FC Ma'an,Ma'an
Moghayer Al-Sarhan,Badiah Gharbiyah
Sahab SC,Sahab
Shabab Al-Aqaba,Al-Aqaba
Shabab Al-Ordon,Amman
