Daegu FC,Daegu
Daejeon Hana Citizen,Daejeon
Gangwon FC,Gangwon
Gwangju FC,Gwangju
Incheon United,Incheon
Jeju United,Jeju
Jeonbuk Hyundai Motors,Jeonbuk
Pohang Steelers,Pohang
FC Seoul,Seoul
Suwon FC,Suwon
Suwon Samsung Bluewings,Suwon
Ulsan Hyundai,Ulsan
