BDF Sport Programme,Bridgetown, Saint Michael
Brittons Hill,Bridgetown, Saint Michael
Deacons FC,
Ellerton FC,Bridgetown, Saint Michael
Empire Club,Bridgetown, Saint Michael
Notre Dame,Bridgetown, Saint Michael
Paradise FC,Christ Church, Christ Church
Silver Sands,Christ Church, Christ Church
St. Andrew Lions,Wildley, Saint Michael
UWI Blackbirds,Cavehill, Saint Michael
Weymouth Wales,Carrington, Saint Philip
Wotton FC,
